"","PORT.NAME","STATE","slope","p"
"1","ARLINGTON","VA",263493.50000006,0.0248135319057861
"2","BATH","ME",16124.714285711,0.009022832176644
"3","BOOTHBAY","ME",402308.65476182,0.0105306909611042
"4","BREWSTER","MA",209302.857142819,0.000326185445865473
"5","BROOKLIN","ME",291090.345238031,0.00984485765421975
"6","BRUNSWICK","ME",462036.440476115,0.000365445380976764
"7","CHARLESTOWN","RI",213017.202380906,0.0383573773430088
"8","CONFIDENTIAL","NY",62060.642857129,0.0318043245578177
"9","CRANBERRY ISLES","ME",761984.166666534,0.0109170463768077
"10","CUMBERLAND","NJ",10259.5833333323,0.0136761695857887
"11","CUSHING","ME",670757.392857068,0.0439734553086419
"12","DAMARISCOTTA","ME",342599.309523769,0.0476834344374356
"13","DENNYSVILLE","ME",11153.5714285698,0.00671825257439887
"14","DICKENSON","VA",147417.500000033,0.0414928463647688
"15","EAST HAVEN","CT",111571.142857133,0.0283520261460992
"16","EAST MACHIAS","ME",38055.9642857103,0.0421182883493662
"17","EDMUNDS","ME",12991.1071428546,0.0118336398240332
"18","ESSEX","MA",188970.702380914,0.0165530028857736
"19","FALMOUTH","MA",175866.130952361,0.026092107207012
"20","FRANKLIN","ME",195802.785714259,0.0103272947291335
"21","GLOUCESTER","MA",3395439.80952321,0.034100644171628
"22","HARRINGTON","ME",1309359.69047593,0.00395332854322726
"23","HARWICH PORT","MA",275502.416666647,0.0092044407091574
"24","IPSWICH","MA",246241.678571398,0.00230636833986506
"25","JAMESTOWN","RI",51105.6071428462,0.0363655485240627
"26","LYNNHAVEN","VA",14624.8809523786,0.0209146084211521
"27","MARBLEHEAD","MA",260793.071428536,0.0345477185008167
"28","MARSHFIELD","MA",636443.3095237,0.0217165224624317
"29","MATTITUCK","NY",76764.7619047466,0.0125047088597772
"30","MOREHEAD CITY","NC",132013.914285731,0.0309655040741733
"31","NEW BEDFORD","MA",28939708.0833281,0.0110247461628713
"32","NEWINGTON","NH",1670713.35714273,0.0387781858513497
"33","NORFOLK","VA",123880.476190453,0.00386243340087117
"34","NORTH CAROLINA, NK","NC",186795.869047587,0.0136147617934945
"35","NORTH HAVEN","ME",239768.523809494,0.041386564282152
"36","OGUNQUIT","ME",303980.726190422,0.0235348110789126
"37","OLD SAYBROOK ","CT",6484.13513513503,0.0399647633914425
"38","ORIENTAL","NC",282717.869047594,0.0332825323997544
"39","OSTERVILLE","MA",39025.6557970976,0.031624341506604
"40","OYSTER","VA",37064.4,0.00652951555093888
"41","PENOBSCOT","ME",48327.773809519,0.00874919320436508
"42","POINT PLEASANT","NJ",1751060.41666643,0.00638776369321086
"43","REVERE","MA",33435.9486301337,0.0236138110175974
"44","ROCKPORT","MA",816655.178571372,0.0170213831997169
"45","RYE","NH",319676.583333278,0.00159454012716603
"46","SCARBOROUGH","ME",483667.702380866,0.00649995295634936
"47","SEA ISLE CITY","NJ",124267.214285689,0.0126788514665807
"48","SHELTER ISLAND","NY",23886.8647540949,0.049074744510599
"49","SOUTH KINGSTOWN","RI",27630.6071428503,0.0428846375841228
"50","SUFFOLK","NY",45693.4285714218,9.46145986592778e-05
"51","SULLIVAN","ME",130666.63095236,0.00981318665543589
"52","SWAMPSCOTT","MA",92464.7857142631,0.0346257018490969
"53","SWAN QUARTER","NC",301195.678571399,0.0408449385284196
"54","TRESCOTT","ME",73866.297619045,0.0428439442758673
"55","VIRGINIA BEACH","VA",545054.785714178,0.00271556779006605
"56","WELLS","ME",103758.071428556,0.007090237410472
