"","rowid","PORT.NAME","STATE","average_value"
"1",1,"CONFIDENTIAL","VA",434619104.75
"2",2,"NEW BEDFORD","MA",368123750.221698
"3",3,"NEW YORK, NK","NY",106149536.5625
"4",4,"CONFIDENTIAL","MD",75618192.75
"5",5,"CAPE MAY","NJ",74047922.0679612
"6",6,"STONINGTON","ME",61682898.0555556
"7",7,"POINT JUDITH","RI",56413411.2764228
"8",8,"GLOUCESTER","MA",50629841.5
"9",9,"VIRGINIA, NK","VA",48212799
"10",10,"VINALHAVEN","ME",39351358.3913044
"11",11,"PORTLAND","ME",34947832.0485437
"12",12,"MAINE, NK","ME",31493949.5
"13",13,"POINT PLEASANT","NJ",30049629.3395062
"14",14,"NORTHUMBERLAND","VA",28002280
"15",15,"HARPSWELL","ME",26573361.1794872
"16",16,"CONFIDENTIAL","ME",25982203
"17",17,"BARNEGAT LIGHT","NJ",25272806.2857143
"18",18,"NEWINGTON","NH",23151455.5384615
"19",19,"FRIENDSHIP","ME",21846372.9677419
"20",20,"BEALS","ME",21820292
"21",21,"NORTHAMPTON","VA",21035618.125
"22",22,"NEW JERSEY, NK","NJ",19870039
"23",23,"NEWPORT NEWS","VA",19342267.686747
"24",24,"ATLANTIC CITY","NJ",19148187.8846154
"25",25,"CHATHAM","MA",17202322.5113636
"26",26,"BOSTON","MA",16743316.7
"27",27,"MONTAUK","NY",16742706.0140845
"28",28,"ROCKLAND","ME",16736701.2333333
"29",29,"WANCHESE","NC",16533543.9195046
"30",30,"HAMPTON","VA",16502334.1418919
"31",31,"SPRUCE HEAD","ME",16037224.2857143
"32",32,"CONFIDENTIAL","DE",15985384.75
"33",33,"NORTH KINGSTOWN","RI",14697715.7777778
"34",34,"SEAFORD","VA",14559616.0769231
"35",35,"FAIRHAVEN","MA",14428102.0823529
"36",36,"TREMONT","ME",14041902.8275862
"37",37,"JONESPORT","ME",13309149.9148936
"38",38,"KENT","DE",12160509
"39",39,"OWLS HEAD","ME",11685804.4
"40",40,"BARNSTABLE","MA",11090966.1827957
"41",41,"MILBRIDGE","ME",10941056.3333333
"42",42,"BEAUFORT","NC",10936808.2765957
"43",43,"GOULDSBORO","ME",10650631.34375
"44",44,"ACCOMAC","VA",10493602
"45",45,"SWANS ISLAND","ME",10115822.4705882
"46",46,"CUSHING","ME",9953740.58333333
"47",47,"SOUTHWEST HARBOR","ME",9952883.85714286
"48",48,"TENANTS HARBOR","ME",9691142
"49",49,"COREA","ME",8537328.42857143
"50",50,"MACHIASPORT","ME",8436197.72413793
"51",51,"PROVINCETOWN","MA",8383314.53846154
"52",52,"PORT CLYDE","ME",8172586.04347826
"53",53,"NEWPORT","RI",7969123.71428571
"54",54,"STEUBEN","ME",7906689.25
"55",55,"WINTER HARBOR","ME",7601877.92857143
"56",56,"BOOTHBAY HARBOR","ME",7466412.15
"57",57,"PORTSMOUTH","NH",7205752.82608696
"58",58,"SOUTH BRISTOL","ME",7059746.9047619
"59",59,"PLYMOUTH","MA",6941235.57894737
"60",60,"HARRINGTON","ME",6901014.57142857
"61",61,"BLUE HILL","ME",6823826.20689655
"62",62,"WELLFLEET","MA",6818579.69230769
"63",63,"SANDWICH","MA",6720597.42592593
"64",64,"LUBEC","ME",6679513.70833333
"65",65,"MT. DESERT","ME",6677781.5
"66",66,"KITTERY","ME",6641794.4
"67",67,"ADDISON","ME",6586349.93103448
"68",68,"ENGELHARD","NC",6563592.04878049
"69",69,"CUTLER","ME",6303826.5
"70",70,"DUXBURY","MA",6269228.19047619
"71",71,"BAR HARBOR","ME",6194574.57142857
"72",72,"BAILEY ISLAND","ME",6187070
"73",73,"HAMPTON BAYS","NY",6045721.6
"74",74,"DEER ISLE","ME",5991054.80769231
"75",75,"CRANBERRY ISLES","ME",5940623.53846154
"76",76,"STONINGTON","CT",5893474.1557377
"77",77,"MATINICUS","ME",5823678.91666667
"78",78,"OCEAN CITY","MD",5694300.1509434
"79",79,"ROCKPORT","MA",5691483.92857143
"80",80,"RHODE ISLAND, NK","RI",5611925.33333333
"81",81,"NEW HARBOR","ME",5353313.86666667
"82",82,"WILDWOOD","NJ",5304457.31578947
"83",83,"MARSHFIELD","MA",5099387.46153846
"84",84,"NEW LONDON","CT",4681229.92741935
"85",85,"EASTPORT","ME",4675116
"86",86,"CAPE PORPOISE","ME",4667591.7
"87",87,"SCITUATE","MA",4425140.37209302
"88",88,"CRAIG","VA",4297681.6
"89",89,"SUNSHINE","ME",4197849.75
"90",90,"HYANNIS","MA",4096981.55263158
"91",91,"CHINCOTEAGUE","VA",4054748.68539326
"92",92,"YORK","ME",3989230.35714286
"93",93,"ORIENTAL","NC",3946359.33333333
"94",94,"CHEBEAGUE ISLAND","ME",3920406.5
"95",95,"GLOUCESTER","VA",3555054
"96",96,"BREMEN","ME",3501098.9
"97",97,"PHIPPSBURG","ME",3500627.13333333
"98",98,"HARWICH PORT","MA",3427622.02739726
"99",99,"CONNECTICUT, NK","CT",3367399.5
"100",100,"SORRENTO","ME",3194796.09090909
