"","PORT","SPPNAME","PER.RANK"
"1","BEALS, ME","LOBSTER, AMERICAN",1
"2","FRIENDSHIP, ME","LOBSTER, AMERICAN",1
"3","GOULDSBORO, ME","LOBSTER, AMERICAN",1
"4","HARPSWELL, ME","CLAM, SOFT",0.923076923076923
"5","HARPSWELL, ME","LOBSTER, AMERICAN",1
"6","LUBEC, ME","LOBSTER, AMERICAN",1
"7","PORTLAND, ME","EEL, AMERICAN",0.933333333333333
"8","PORTLAND, ME","HERRING, ATLANTIC",0.966666666666667
"9","PORTLAND, ME","LOBSTER, AMERICAN",1
"10","ROCKLAND, ME","LOBSTER, AMERICAN",1
"11","STONINGTON, ME","LOBSTER, AMERICAN",1
"12","STONINGTON, ME","SCALLOP, SEA",0.909090909090909
"13","YORK, ME","LOBSTER, AMERICAN",1
"14","NEWINGTON, NH","LOBSTER, AMERICAN",1
"15","PORTSMOUTH, NH","HERRING, ATLANTIC",0.904761904761905
"16","PORTSMOUTH, NH","LOBSTER, AMERICAN",1
"17","PORTSMOUTH, NH","CONFIDENTIAL",0.952380952380952
"18","BOSTON, MA","HADDOCK",1
"19","BOSTON, MA","LOBSTER, AMERICAN",0.96875
"20","BOSTON, MA","POLLOCK",0.9375
"21","BOSTON, MA","REDFISH, ACADIAN",0.90625
"22","CHATHAM, MA","CLAM, QUAHOG, NK",0.918367346938776
"23","CHATHAM, MA","LOBSTER, AMERICAN",1
"24","CHATHAM, MA","SCALLOP, SEA",0.979591836734694
"25","CHATHAM, MA","SHARK, DOGFISH, SPINY",0.938775510204082
"26","CHATHAM, MA","SKATE, WINTER",0.959183673469388
"27","GLOUCESTER, MA","HADDOCK",0.978260869565217
"28","GLOUCESTER, MA","HERRING, ATLANTIC",0.91304347826087
"29","GLOUCESTER, MA","LOBSTER, AMERICAN",1
"30","GLOUCESTER, MA","POLLOCK",0.934782608695652
"31","GLOUCESTER, MA","REDFISH, ACADIAN",0.956521739130435
"32","NEW BEDFORD, MA","CLAM, QUAHOG, OCEAN",0.967741935483871
"33","NEW BEDFORD, MA","CLAM, SURF",0.951612903225806
"34","NEW BEDFORD, MA","CRAB, JONAH",0.935483870967742
"35","NEW BEDFORD, MA","HADDOCK",0.919354838709677
"36","NEW BEDFORD, MA","LOBSTER, AMERICAN",0.983870967741935
"37","NEW BEDFORD, MA","SCALLOP, SEA",1
"38","NEW BEDFORD, MA","SQUID, ILLEX",0.903225806451613
"39","PLYMOUTH, MA","LOBSTER, AMERICAN",1
"40","PLYMOUTH, MA","OYSTER, EASTERN",0.964285714285714
"41","PLYMOUTH, MA","TUNA, BLUEFIN",0.928571428571429
"42","PROVINCETOWN, MA","LOBSTER, AMERICAN",1
"43","PROVINCETOWN, MA","SCALLOP, SEA",0.96551724137931
"44","PROVINCETOWN, MA","TUNA, BLUEFIN",0.931034482758621
"45","SCITUATE, MA","FLOUNDER, WINTER",0.961538461538462
"46","SCITUATE, MA","LOBSTER, AMERICAN",1
"47","SCITUATE, MA","TUNA, BLUEFIN",0.923076923076923
"48","NEWPORT, RI","CRAB, JONAH",0.96875
"49","NEWPORT, RI","LOBSTER, AMERICAN",1
"50","NEWPORT, RI","MONKFISH/ANGLER/GOOSEFISH",0.9375
"51","NEWPORT, RI","SKATE, LITTLE",0.90625
"52","POINT JUDITH, RI","CRAB, JONAH",0.902439024390244
"53","POINT JUDITH, RI","FLOUNDER, SUMMER",0.963414634146341
"54","POINT JUDITH, RI","HAKE, SILVER",0.939024390243902
"55","POINT JUDITH, RI","LOBSTER, AMERICAN",0.975609756097561
"56","POINT JUDITH, RI","SCALLOP, SEA",1
"57","POINT JUDITH, RI","SCUP",0.926829268292683
"58","POINT JUDITH, RI","SEA BASS, BLACK",0.914634146341463
"59","POINT JUDITH, RI","SQUID, ILLEX",0.951219512195122
"60","POINT JUDITH, RI","SQUID, LOLIGO",0.98780487804878
"61","NEW LONDON, CT","FLOUNDER, SUMMER",0.904761904761905
"62","NEW LONDON, CT","HAKE, SILVER",0.952380952380952
"63","NEW LONDON, CT","SCALLOP, SEA",0.976190476190476
"64","NEW LONDON, CT","SCUP",0.928571428571429
"65","NEW LONDON, CT","SQUID, LOLIGO",1
